Change Physical Footprint: Designator=U7 Old Footprint=VQFN-20_L4.5-W3.5-P0.50-BL-EP New Footprint=VQFN-20_L4.5-W3.5-P0.50-BL-EP
Change Physical Footprint: Designator=U8 Old Footprint=SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL New Footprint=SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL
Change Physical Footprint: Designator=U9 Old Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8 New Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8
Change Physical Footprint: Designator=U10 Old Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8 New Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8
Change Physical Footprint: Designator=U11 Old Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8 New Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8
Change Physical Footprint: Designator=U12 Old Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8 New Footprint=SW-TH_6P-L12.7-W11.4-P4.70-LS4.8
Change Physical Footprint: Designator=U13 Old Footprint=VQFN-20_L4.5-W3.5-P0.50-BL-EP New Footprint=VQFN-20_L4.5-W3.5-P0.50-BL-EP
Change Physical Footprint: Designator=U14 Old Footprint=SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR New Footprint=SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR
Change Physical Footprint: Designator=U16 Old Footprint=QFN-8 3x3 New Footprint=QFN-8 3x3
Change Physical Footprint: Designator=U17 Old Footprint=SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL New Footprint=SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL
Change Physical Footprint: Designator=USB1 Old Footprint=USB-C-SMD_TYPE-C-6PIN-2MD-073 New Footprint=USB-C-SMD_TYPE-C-6PIN-2MD-073
